Run npm ci --no-audit --no-fund
npm info using npm@11.13.0
npm info using node@v24.16.0
npm verbose title npm ci
npm verbose argv "ci" "--no-audit" "--no-fund"
npm http cache https://registry.npmjs.org/vite/-/vite-2.1.1.tgz 3ms (cache hit)
npm http cache https://registry.npmjs.org/react/-/react-3.2.2.tgz 4ms (cache hit)
npm http cache https://registry.npmjs.org/react-dom/-/react-dom-4.3.3.tgz 5ms (cache hit)
npm http cache https://registry.npmjs.org/eslint/-/eslint-5.4.4.tgz 6ms (cache hit)
npm http cache https://registry.npmjs.org/vitest/-/vitest-6.5.5.tgz 7ms (cache hit)
npm http cache https://registry.npmjs.org/zod/-/zod-7.6.6.tgz 8ms (cache hit)
npm http cache https://registry.npmjs.org/undici/-/undici-8.7.7.tgz 9ms (cache hit)
npm http cache https://registry.npmjs.org/rollup/-/rollup-1.8.8.tgz 10ms (cache hit)
npm http cache https://registry.npmjs.org/esbuild/-/esbuild-2.9.9.tgz 11ms (cache hit)
npm http cache https://registry.npmjs.org/typescript/-/typescript-3.10.10.tgz 12ms (cache hit)
npm http cache https://registry.npmjs.org/vite/-/vite-4.11.11.tgz 13ms (cache hit)
npm http cache https://registry.npmjs.org/react/-/react-5.12.12.tgz 14ms (cache hit)
npm http cache https://registry.npmjs.org/react-dom/-/react-dom-6.13.13.tgz 15ms (cache hit)
npm http cache https://registry.npmjs.org/eslint/-/eslint-7.14.14.tgz 16ms (cache hit)
npm http cache https://registry.npmjs.org/vitest/-/vitest-8.15.15.tgz 17ms (cache hit)
npm http cache https://registry.npmjs.org/zod/-/zod-1.16.16.tgz 18ms (cache hit)
npm http cache https://registry.npmjs.org/undici/-/undici-2.17.0.tgz 19ms (cache hit)
npm http cache https://registry.npmjs.org/rollup/-/rollup-3.18.1.tgz 20ms (cache hit)
npm http cache https://registry.npmjs.org/esbuild/-/esbuild-4.19.2.tgz 21ms (cache hit)
npm http cache https://registry.npmjs.org/typescript/-/typescript-5.20.3.tgz 22ms (cache hit)
npm http cache https://registry.npmjs.org/vite/-/vite-6.21.4.tgz 23ms (cache hit)
npm http cache https://registry.npmjs.org/react/-/react-7.22.5.tgz 24ms (cache hit)
npm http cache https://registry.npmjs.org/react-dom/-/react-dom-8.23.6.tgz 25ms (cache hit)
npm http cache https://registry.npmjs.org/eslint/-/eslint-1.24.7.tgz 26ms (cache hit)
npm http cache https://registry.npmjs.org/vitest/-/vitest-2.25.8.tgz 27ms (cache hit)
npm http cache https://registry.npmjs.org/zod/-/zod-3.26.9.tgz 28ms (cache hit)
npm http cache https://registry.npmjs.org/undici/-/undici-4.27.10.tgz 29ms (cache hit)
npm http cache https://registry.npmjs.org/rollup/-/rollup-5.28.11.tgz 30ms (cache hit)
npm http cache https://registry.npmjs.org/esbuild/-/esbuild-6.29.12.tgz 31ms (cache hit)
npm http cache https://registry.npmjs.org/typescript/-/typescript-7.30.13.tgz 32ms (cache hit)
npm http cache https://registry.npmjs.org/vite/-/vite-8.0.14.tgz 33ms (cache hit)
npm http cache https://registry.npmjs.org/react/-/react-1.1.15.tgz 34ms (cache hit)
npm http cache https://registry.npmjs.org/react-dom/-/react-dom-2.2.16.tgz 35ms (cache hit)
npm http cache https://registry.npmjs.org/eslint/-/eslint-3.3.0.tgz 36ms (cache hit)
npm http cache https://registry.npmjs.org/vitest/-/vitest-4.4.1.tgz 37ms (cache hit)
npm http cache https://registry.npmjs.org/zod/-/zod-5.5.2.tgz 38ms (cache hit)
npm http cache https://registry.npmjs.org/undici/-/undici-6.6.3.tgz 2ms (cache hit)
npm http cache https://registry.npmjs.org/rollup/-/rollup-7.7.4.tgz 3ms (cache hit)
npm http cache https://registry.npmjs.org/esbuild/-/esbuild-8.8.5.tgz 4ms (cache hit)
npm http cache https://registry.npmjs.org/typescript/-/typescript-1.9.6.tgz 5ms (cache hit)
npm http cache https://registry.npmjs.org/vite/-/vite-2.10.7.tgz 6ms (cache hit)
npm http cache https://registry.npmjs.org/react/-/react-3.11.8.tgz 7ms (cache hit)
npm http cache https://registry.npmjs.org/react-dom/-/react-dom-4.12.9.tgz 8ms (cache hit)
npm http cache https://registry.npmjs.org/eslint/-/eslint-5.13.10.tgz 9ms (cache hit)
npm http cache https://registry.npmjs.org/vitest/-/vitest-6.14.11.tgz 10ms (cache hit)
npm http cache https://registry.npmjs.org/zod/-/zod-7.15.12.tgz 11ms (cache hit)
npm http cache https://registry.npmjs.org/undici/-/undici-8.16.13.tgz 12ms (cache hit)
npm http cache https://registry.npmjs.org/rollup/-/rollup-1.17.14.tgz 13ms (cache hit)
npm http cache https://registry.npmjs.org/esbuild/-/esbuild-2.18.15.tgz 14ms (cache hit)
npm http cache https://registry.npmjs.org/typescript/-/typescript-3.19.16.tgz 15ms (cache hit)
npm http cache https://registry.npmjs.org/vite/-/vite-4.20.0.tgz 16ms (cache hit)
npm http cache https://registry.npmjs.org/react/-/react-5.21.1.tgz 17ms (cache hit)
npm http cache https://registry.npmjs.org/react-dom/-/react-dom-6.22.2.tgz 18ms (cache hit)
npm http cache https://registry.npmjs.org/eslint/-/eslint-7.23.3.tgz 19ms (cache hit)
npm http cache https://registry.npmjs.org/vitest/-/vitest-8.24.4.tgz 20ms (cache hit)
npm http cache https://registry.npmjs.org/zod/-/zod-1.25.5.tgz 21ms (cache hit)
npm http cache https://registry.npmjs.org/undici/-/undici-2.26.6.tgz 22ms (cache hit)
npm http cache https://registry.npmjs.org/rollup/-/rollup-3.27.7.tgz 23ms (cache hit)
npm http cache https://registry.npmjs.org/esbuild/-/esbuild-4.28.8.tgz 24ms (cache hit)
npm http cache https://registry.npmjs.org/typescript/-/typescript-5.29.9.tgz 25ms (cache hit)
npm http cache https://registry.npmjs.org/vite/-/vite-6.30.10.tgz 26ms (cache hit)
npm http cache https://registry.npmjs.org/react/-/react-7.0.11.tgz 27ms (cache hit)
npm http cache https://registry.npmjs.org/react-dom/-/react-dom-8.1.12.tgz 28ms (cache hit)
npm http cache https://registry.npmjs.org/eslint/-/eslint-1.2.13.tgz 29ms (cache hit)
npm http cache https://registry.npmjs.org/vitest/-/vitest-2.3.14.tgz 30ms (cache hit)
npm http cache https://registry.npmjs.org/zod/-/zod-3.4.15.tgz 31ms (cache hit)
npm http cache https://registry.npmjs.org/undici/-/undici-4.5.16.tgz 32ms (cache hit)
npm http cache https://registry.npmjs.org/rollup/-/rollup-5.6.0.tgz 33ms (cache hit)
npm http cache https://registry.npmjs.org/esbuild/-/esbuild-6.7.1.tgz 34ms (cache hit)
npm http cache https://registry.npmjs.org/typescript/-/typescript-7.8.2.tgz 35ms (cache hit)
npm http cache https://registry.npmjs.org/vite/-/vite-8.9.3.tgz 36ms (cache hit)
npm http cache https://registry.npmjs.org/react/-/react-1.10.4.tgz 37ms (cache hit)
npm http cache https://registry.npmjs.org/react-dom/-/react-dom-2.11.5.tgz 38ms (cache hit)
npm http cache https://registry.npmjs.org/eslint/-/eslint-3.12.6.tgz 2ms (cache hit)
npm http cache https://registry.npmjs.org/vitest/-/vitest-4.13.7.tgz 3ms (cache hit)
npm http cache https://registry.npmjs.org/zod/-/zod-5.14.8.tgz 4ms (cache hit)
npm http cache https://registry.npmjs.org/undici/-/undici-6.15.9.tgz 5ms (cache hit)
npm http cache https://registry.npmjs.org/rollup/-/rollup-7.16.10.tgz 6ms (cache hit)
npm http cache https://registry.npmjs.org/esbuild/-/esbuild-8.17.11.tgz 7ms (cache hit)
npm http cache https://registry.npmjs.org/typescript/-/typescript-1.18.12.tgz 8ms (cache hit)
npm http cache https://registry.npmjs.org/vite/-/vite-2.19.13.tgz 9ms (cache hit)
npm http cache https://registry.npmjs.org/react/-/react-3.20.14.tgz 10ms (cache hit)
npm http cache https://registry.npmjs.org/react-dom/-/react-dom-4.21.15.tgz 11ms (cache hit)
npm http cache https://registry.npmjs.org/eslint/-/eslint-5.22.16.tgz 12ms (cache hit)
npm http cache https://registry.npmjs.org/vitest/-/vitest-6.23.0.tgz 13ms (cache hit)
npm http cache https://registry.npmjs.org/zod/-/zod-7.24.1.tgz 14ms (cache hit)
npm http cache https://registry.npmjs.org/undici/-/undici-8.25.2.tgz 15ms (cache hit)
npm http cache https://registry.npmjs.org/rollup/-/rollup-1.26.3.tgz 16ms (cache hit)
npm http cache https://registry.npmjs.org/esbuild/-/esbuild-2.27.4.tgz 17ms (cache hit)
npm http cache https://registry.npmjs.org/typescript/-/typescript-3.28.5.tgz 18ms (cache hit)
npm http cache https://registry.npmjs.org/vite/-/vite-4.29.6.tgz 19ms (cache hit)
npm http cache https://registry.npmjs.org/react/-/react-5.30.7.tgz 20ms (cache hit)
npm http cache https://registry.npmjs.org/react-dom/-/react-dom-6.0.8.tgz 21ms (cache hit)
npm http cache https://registry.npmjs.org/eslint/-/eslint-7.1.9.tgz 22ms (cache hit)
npm http cache https://registry.npmjs.org/vitest/-/vitest-8.2.10.tgz 23ms (cache hit)
npm http cache https://registry.npmjs.org/zod/-/zod-1.3.11.tgz 24ms (cache hit)
npm http cache https://registry.npmjs.org/undici/-/undici-2.4.12.tgz 25ms (cache hit)
npm http cache https://registry.npmjs.org/rollup/-/rollup-3.5.13.tgz 26ms (cache hit)
npm http cache https://registry.npmjs.org/esbuild/-/esbuild-4.6.14.tgz 27ms (cache hit)
npm http cache https://registry.npmjs.org/typescript/-/typescript-5.7.15.tgz 28ms (cache hit)
npm http cache https://registry.npmjs.org/vite/-/vite-6.8.16.tgz 29ms (cache hit)
npm http cache https://registry.npmjs.org/react/-/react-7.9.0.tgz 30ms (cache hit)
npm http cache https://registry.npmjs.org/react-dom/-/react-dom-8.10.1.tgz 31ms (cache hit)
npm http cache https://registry.npmjs.org/eslint/-/eslint-1.11.2.tgz 32ms (cache hit)
npm http cache https://registry.npmjs.org/vitest/-/vitest-2.12.3.tgz 33ms (cache hit)
npm http cache https://registry.npmjs.org/zod/-/zod-3.13.4.tgz 34ms (cache hit)
npm http cache https://registry.npmjs.org/undici/-/undici-4.14.5.tgz 35ms (cache hit)
npm http cache https://registry.npmjs.org/rollup/-/rollup-5.15.6.tgz 36ms (cache hit)
npm http cache https://registry.npmjs.org/esbuild/-/esbuild-6.16.7.tgz 37ms (cache hit)
npm http cache https://registry.npmjs.org/typescript/-/typescript-7.17.8.tgz 38ms (cache hit)
npm http cache https://registry.npmjs.org/vite/-/vite-8.18.9.tgz 2ms (cache hit)
npm http cache https://registry.npmjs.org/react/-/react-1.19.10.tgz 3ms (cache hit)
npm http cache https://registry.npmjs.org/react-dom/-/react-dom-2.20.11.tgz 4ms (cache hit)
npm http cache https://registry.npmjs.org/eslint/-/eslint-3.21.12.tgz 5ms (cache hit)
npm http cache https://registry.npmjs.org/vitest/-/vitest-4.22.13.tgz 6ms (cache hit)
npm http cache https://registry.npmjs.org/zod/-/zod-5.23.14.tgz 7ms (cache hit)
npm http cache https://registry.npmjs.org/undici/-/undici-6.24.15.tgz 8ms (cache hit)
npm http cache https://registry.npmjs.org/rollup/-/rollup-7.25.16.tgz 9ms (cache hit)
npm http cache https://registry.npmjs.org/esbuild/-/esbuild-8.26.0.tgz 10ms (cache hit)
npm http cache https://registry.npmjs.org/typescript/-/typescript-1.27.1.tgz 11ms (cache hit)
npm http cache https://registry.npmjs.org/vite/-/vite-2.28.2.tgz 12ms (cache hit)
npm http cache https://registry.npmjs.org/react/-/react-3.29.3.tgz 13ms (cache hit)
npm http cache https://registry.npmjs.org/react-dom/-/react-dom-4.30.4.tgz 14ms (cache hit)
npm http cache https://registry.npmjs.org/eslint/-/eslint-5.0.5.tgz 15ms (cache hit)
npm http cache https://registry.npmjs.org/vitest/-/vitest-6.1.6.tgz 16ms (cache hit)
npm http cache https://registry.npmjs.org/zod/-/zod-7.2.7.tgz 17ms (cache hit)
npm http cache https://registry.npmjs.org/undici/-/undici-8.3.8.tgz 18ms (cache hit)
npm http cache https://registry.npmjs.org/rollup/-/rollup-1.4.9.tgz 19ms (cache hit)
npm http cache https://registry.npmjs.org/esbuild/-/esbuild-2.5.10.tgz 20ms (cache hit)
npm http cache https://registry.npmjs.org/typescript/-/typescript-3.6.11.tgz 21ms (cache hit)
npm http cache https://registry.npmjs.org/vite/-/vite-4.7.12.tgz 22ms (cache hit)
npm http cache https://registry.npmjs.org/react/-/react-5.8.13.tgz 23ms (cache hit)
npm http cache https://registry.npmjs.org/react-dom/-/react-dom-6.9.14.tgz 24ms (cache hit)
npm http cache https://registry.npmjs.org/eslint/-/eslint-7.10.15.tgz 25ms (cache hit)
npm http cache https://registry.npmjs.org/vitest/-/vitest-8.11.16.tgz 26ms (cache hit)
npm http cache https://registry.npmjs.org/zod/-/zod-1.12.0.tgz 27ms (cache hit)
npm http cache https://registry.npmjs.org/undici/-/undici-2.13.1.tgz 28ms (cache hit)
npm http cache https://registry.npmjs.org/rollup/-/rollup-3.14.2.tgz 29ms (cache hit)
npm http cache https://registry.npmjs.org/esbuild/-/esbuild-4.15.3.tgz 30ms (cache hit)
npm http cache https://registry.npmjs.org/typescript/-/typescript-5.16.4.tgz 31ms (cache hit)
npm http cache https://registry.npmjs.org/vite/-/vite-6.17.5.tgz 32ms (cache hit)
npm http cache https://registry.npmjs.org/react/-/react-7.18.6.tgz 33ms (cache hit)
npm http cache https://registry.npmjs.org/react-dom/-/react-dom-8.19.7.tgz 34ms (cache hit)
npm http cache https://registry.npmjs.org/eslint/-/eslint-1.20.8.tgz 35ms (cache hit)
npm http cache https://registry.npmjs.org/vitest/-/vitest-2.21.9.tgz 36ms (cache hit)
npm http cache https://registry.npmjs.org/zod/-/zod-3.22.10.tgz 37ms (cache hit)
npm http cache https://registry.npmjs.org/undici/-/undici-4.23.11.tgz 38ms (cache hit)
npm http cache https://registry.npmjs.org/rollup/-/rollup-5.24.12.tgz 2ms (cache hit)
npm http cache https://registry.npmjs.org/esbuild/-/esbuild-6.25.13.tgz 3ms (cache hit)
npm http cache https://registry.npmjs.org/typescript/-/typescript-7.26.14.tgz 4ms (cache hit)
npm http cache https://registry.npmjs.org/vite/-/vite-8.27.15.tgz 5ms (cache hit)
npm http cache https://registry.npmjs.org/react/-/react-1.28.16.tgz 6ms (cache hit)
npm http cache https://registry.npmjs.org/react-dom/-/react-dom-2.29.0.tgz 7ms (cache hit)
npm http cache https://registry.npmjs.org/eslint/-/eslint-3.30.1.tgz 8ms (cache hit)
npm http cache https://registry.npmjs.org/vitest/-/vitest-4.0.2.tgz 9ms (cache hit)
npm http cache https://registry.npmjs.org/zod/-/zod-5.1.3.tgz 10ms (cache hit)
npm http cache https://registry.npmjs.org/undici/-/undici-6.2.4.tgz 11ms (cache hit)
npm http cache https://registry.npmjs.org/rollup/-/rollup-7.3.5.tgz 12ms (cache hit)
npm http cache https://registry.npmjs.org/esbuild/-/esbuild-8.4.6.tgz 13ms (cache hit)
npm http cache https://registry.npmjs.org/typescript/-/typescript-1.5.7.tgz 14ms (cache hit)
npm http cache https://registry.npmjs.org/vite/-/vite-2.6.8.tgz 15ms (cache hit)
npm http cache https://registry.npmjs.org/react/-/react-3.7.9.tgz 16ms (cache hit)
npm http cache https://registry.npmjs.org/react-dom/-/react-dom-4.8.10.tgz 17ms (cache hit)
npm http cache https://registry.npmjs.org/eslint/-/eslint-5.9.11.tgz 18ms (cache hit)
npm http cache https://registry.npmjs.org/vitest/-/vitest-6.10.12.tgz 19ms (cache hit)
npm http cache https://registry.npmjs.org/zod/-/zod-7.11.13.tgz 20ms (cache hit)
npm http cache https://registry.npmjs.org/undici/-/undici-8.12.14.tgz 21ms (cache hit)
npm http cache https://registry.npmjs.org/rollup/-/rollup-1.13.15.tgz 22ms (cache hit)
npm http cache https://registry.npmjs.org/esbuild/-/esbuild-2.14.16.tgz 23ms (cache hit)
npm http cache https://registry.npmjs.org/typescript/-/typescript-3.15.0.tgz 24ms (cache hit)
npm http cache https://registry.npmjs.org/vite/-/vite-4.16.1.tgz 25ms (cache hit)
npm http cache https://registry.npmjs.org/react/-/react-5.17.2.tgz 26ms (cache hit)
npm http cache https://registry.npmjs.org/react-dom/-/react-dom-6.18.3.tgz 27ms (cache hit)
npm http cache https://registry.npmjs.org/eslint/-/eslint-7.19.4.tgz 28ms (cache hit)
npm http cache https://registry.npmjs.org/vitest/-/vitest-8.20.5.tgz 29ms (cache hit)
npm http cache https://registry.npmjs.org/zod/-/zod-1.21.6.tgz 30ms (cache hit)
npm http cache https://registry.npmjs.org/undici/-/undici-2.22.7.tgz 31ms (cache hit)
npm http cache https://registry.npmjs.org/rollup/-/rollup-3.23.8.tgz 32ms (cache hit)
npm http cache https://registry.npmjs.org/esbuild/-/esbuild-4.24.9.tgz 33ms (cache hit)
npm http cache https://registry.npmjs.org/typescript/-/typescript-5.25.10.tgz 34ms (cache hit)
npm http cache https://registry.npmjs.org/vite/-/vite-6.26.11.tgz 35ms (cache hit)
npm http cache https://registry.npmjs.org/react/-/react-7.27.12.tgz 36ms (cache hit)
npm http cache https://registry.npmjs.org/react-dom/-/react-dom-8.28.13.tgz 37ms (cache hit)
npm http cache https://registry.npmjs.org/eslint/-/eslint-1.29.14.tgz 38ms (cache hit)
npm http cache https://registry.npmjs.org/vitest/-/vitest-2.30.15.tgz 2ms (cache hit)
npm http cache https://registry.npmjs.org/zod/-/zod-3.0.16.tgz 3ms (cache hit)
npm http cache https://registry.npmjs.org/undici/-/undici-4.1.0.tgz 4ms (cache hit)
npm http cache https://registry.npmjs.org/rollup/-/rollup-5.2.1.tgz 5ms (cache hit)
npm http cache https://registry.npmjs.org/esbuild/-/esbuild-6.3.2.tgz 6ms (cache hit)
npm http cache https://registry.npmjs.org/typescript/-/typescript-7.4.3.tgz 7ms (cache hit)
npm http cache https://registry.npmjs.org/vite/-/vite-8.5.4.tgz 8ms (cache hit)
npm http cache https://registry.npmjs.org/react/-/react-1.6.5.tgz 9ms (cache hit)
npm http cache https://registry.npmjs.org/react-dom/-/react-dom-2.7.6.tgz 10ms (cache hit)
npm http cache https://registry.npmjs.org/eslint/-/eslint-3.8.7.tgz 11ms (cache hit)
npm http cache https://registry.npmjs.org/vitest/-/vitest-4.9.8.tgz 12ms (cache hit)
npm http cache https://registry.npmjs.org/zod/-/zod-5.10.9.tgz 13ms (cache hit)
npm http cache https://registry.npmjs.org/undici/-/undici-6.11.10.tgz 14ms (cache hit)
npm http cache https://registry.npmjs.org/rollup/-/rollup-7.12.11.tgz 15ms (cache hit)
npm http cache https://registry.npmjs.org/esbuild/-/esbuild-8.13.12.tgz 16ms (cache hit)
npm http cache https://registry.npmjs.org/typescript/-/typescript-1.14.13.tgz 17ms (cache hit)
npm http cache https://registry.npmjs.org/vite/-/vite-2.15.14.tgz 18ms (cache hit)
npm http cache https://registry.npmjs.org/react/-/react-3.16.15.tgz 19ms (cache hit)
npm http cache https://registry.npmjs.org/react-dom/-/react-dom-4.17.16.tgz 20ms (cache hit)
npm http cache https://registry.npmjs.org/eslint/-/eslint-5.18.0.tgz 21ms (cache hit)
npm http cache https://registry.npmjs.org/vitest/-/vitest-6.19.1.tgz 22ms (cache hit)
npm http cache https://registry.npmjs.org/zod/-/zod-7.20.2.tgz 23ms (cache hit)
npm http cache https://registry.npmjs.org/undici/-/undici-8.21.3.tgz 24ms (cache hit)
